modulo;cut;curec;cusac.cut;cuscn.cut;IS;arctot;malla3octavos;malla100;malla200;diasmuestreo1;recupmuestreo1
714-III;0,433;0,341;16,7;62;78,7;5;34,4;11,4;9,1;45;39,82
715-I;0,429;0,362;16,4;75,4;91,8;4,7;34,4;10,6;8,6;43;53,43
715-II;0,46;0,377;17,2;69,4;86,6;4,9;34,1;11,3;8,8;41;34,37
716-I;0,343;0,264;15,5;56,3;71,8;4,4;35,3;9,9;7,3;44;48,57
717-I;0,45;0,34;14,9;57,2;72,1;4,7;32,3;11,9;9,3;47;45,45
717-II;0,357;0,291;15,7;66,9;82,6;3,3;35,7;10,9;8,4;41;49,9
718-I;0,388;0,298;14,4;58,9;73,3;5;33,3;11;8,6;41;35,08
718-II;0,323;0,259;16,8;61;77,8;4;33,5;11,8;9,2;39;35,14
801-I;0,367;0,27;15,6;49;64,6;3,9;36,5;9,6;7,4;35;39,64
802-I;0,401;0,282;13,4;45,5;58,9;2,8;36,9;9,2;6,8;32;35,38
803-I;0,468;0,364;12,2;66,1;78,3;5;35,7;12,4;9,7;34;40,9
803-II;0,38;0,302;13,3;66,5;79,8;3,4;37;10,3;8,2;31;48,56
804-I;0,367;0,298;13,5;69;82,5;4,1;36,4;10,6;8,3;35;45,38
804-II;0,526;0,429;17,3;69,6;86,9;4;34,1;10,9;8,6;31;37,41
804-III;0,437;0,35;18;63,7;81,7;4,5;33,7;12,3;9,8;31;40,67
805-II;0,412;0,335;24,5;58,1;82,6;5,4;33,4;12,8;10,2;33;43,74
805-III;0,422;0,334;21,3;57,2;78,5;4,6;35,1;11,4;9,1;32;38,32
805-IV;0,399;0,315;28,8;47,3;76,1;5,5;32,4;12,7;10,2;31;39,17
805-V;0,413;0,325;21,8;55,1;76,9;5,5;32,9;12,6;9,9;31;33,54
806-I;0,337;0,264;13,9;60,8;74,7;4,7;34,3;13;10,5;30;39,13
811-I;0,392;0,28;18,7;41,9;60,6;4,7;31,5;12,9;10,2;95;49,02
811-II;0,382;0,287;26;41;67;5,2;31,2;13,1;10,2;92;53,51
812-I;0,4;0,316;22,3;55,2;77,5;5,9;31,9;13,2;10,3;89;53,79
812-II;0,447;0,357;33,5;44,7;78,2;6,8;31,8;12,9;10,2;87;58,9
813-I;0,4;0,322;26,6;52,9;79,5;4,6;32,6;12;9,2;78;61,67
813-II;0,389;0,302;26,1;47;73,1;5;32,9;12,5;9,6;103;58,08
814-I;0,372;0,291;25,7;47,9;73,6;5,3;32,8;12,7;9,9;73;55,77
814-II;0,363;0,292;24,7;53,5;78,2;5,6;32,9;13;10,2;69;55,26
